item_id,difficulty,difficulty_centered,easiness_z,loading_factor_1,loading_factor_2,dominant_factor,item_id_meta,selected_order,difficulty_meta,platform,question_content,starter_code,prompt,difficulty_laplace_se,difficulty_centered_laplace_se,difficulty_centered_laplace_lo,difficulty_centered_laplace_hi,solver_scores,question_id
abc395_c,13.319883346557617,12.651643753051758,-13.319883346557617,1.1954509019851685,5.471049785614014,factor_2,abc395_c,619,medium,atcoder,,,,1.9823335409164429,2.0078952312469482,8.716169357299805,16.58711814880371,"{'claude_haiku_4_5': 1.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 1.0, 'qwen3_5_27b': 1.0}",abc395_c
abc371_e,10.044231414794922,9.375991821289062,-10.044231414794922,0.9006457924842834,4.049802303314209,factor_2,abc371_e,518,hard,atcoder,,,,1.6044859886169434,1.6371872425079346,6.167104721069336,12.584878921508789,"{'claude_haiku_4_5': 1.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 1.0, 'qwen3_5_27b': 1.0}",abc371_e
abc350_d,10.021183013916016,9.352943420410156,-10.021183013916016,0.8981708884239197,4.039851665496826,factor_2,abc350_d,438,medium,atcoder,,,,1.6024013757705688,1.63515043258667,6.148048400878906,12.557838439941406,"{'claude_haiku_4_5': 1.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 1.0, 'qwen3_5_27b': 1.0}",abc350_d
abc336_c,9.903160095214844,9.234920501708984,-9.903160095214844,0.528670072555542,7.763680458068848,factor_2,abc336_c,401,medium,atcoder,,,,2.6403751373291016,2.6579275131225586,4.0253825187683105,14.4444580078125,"{'claude_haiku_4_5': 1.0, 'mistral_3b': 0.0, 'mistral_8b': 1.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 1.0, 'qwen3_5_27b': 1.0}",abc336_c
abc339_d,9.218050003051758,8.549810409545898,-9.218050003051758,-0.8306679725646973,8.32265567779541,factor_2,abc339_d,409,medium,atcoder,,,,2.380082368850708,2.4003448486328125,3.8451342582702637,13.254486083984375,"{'claude_haiku_4_5': 1.0, 'mistral_3b': 0.0, 'mistral_8b': 1.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 1.0}",abc339_d
abc386_b,9.116863250732422,8.448623657226562,-9.116863250732422,-0.7364282011985779,8.032122611999512,factor_2,abc386_b,582,easy,atcoder,,,,2.3016304969787598,2.3228113651275635,3.8959131240844727,13.001334190368652,"{'claude_haiku_4_5': 1.0, 'mistral_3b': 0.0, 'mistral_8b': 1.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 1.0}",abc386_b
1899_D,8.630084037780762,7.961843967437744,-8.630084037780762,-0.7697834968566895,7.744810581207275,factor_2,1899_D,6,hard,codeforces,,,,2.218435525894165,2.2406516075134277,3.57016658782959,12.353521347045898,"{'claude_haiku_4_5': 1.0, 'mistral_3b': 0.0, 'mistral_8b': 1.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 1.0}",1899_D
abc324_c,8.440564155578613,7.772324085235596,-8.440564155578613,0.29499301314353943,1.1753274202346802,factor_2,abc324_c,364,medium,atcoder,,,,4.271384239196777,4.278360366821289,-0.6132626533508301,16.15791130065918,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 1.0}",abc324_c
abc354_a,8.250223159790039,7.5819830894470215,-8.250223159790039,0.42390158772468567,6.527285099029541,factor_2,abc354_a,450,easy,atcoder,,,,2.092542886734009,2.1164603233337402,3.433720588684082,11.730245590209961,"{'claude_haiku_4_5': 1.0, 'mistral_3b': 0.0, 'mistral_8b': 1.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 1.0, 'qwen3_5_27b': 1.0}",abc354_a
abc318_c,8.133899688720703,7.4656596183776855,-8.133899688720703,-0.8303249478340149,7.51164436340332,factor_2,abc318_c,345,medium,atcoder,,,,2.140928268432617,2.164170980453491,3.2238845825195312,11.70743465423584,"{'claude_haiku_4_5': 1.0, 'mistral_3b': 0.0, 'mistral_8b': 1.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 1.0}",abc318_c
