item_id,difficulty,difficulty_centered,easiness_z,loading_factor_1,loading_factor_2,dominant_factor,item_id_meta,selected_order,pair_id,question_id,split,ordering,difficulty_meta,gold,difficulty_laplace_se,difficulty_centered_laplace_se,difficulty_centered_laplace_lo,difficulty_centered_laplace_hi
claude_4_opus:abc365_e:150:fwd,15.577926,16.992022,-15.577926,4.2661486,-1.2676976,factor_1,claude_4_opus:abc365_e:150:fwd,1768,claude_4_opus:abc365_e:150,abc365_e,claude_4_opus,fwd,medium,A,2.1823792,2.184751,12.709909,21.274134
gemini_2.5_flash_lite:3024:26:fwd,14.958282,16.372377,-14.958282,1.9379399,2.0848093,factor_2,gemini_2.5_flash_lite:3024:26:fwd,1037,gemini_2.5_flash_lite:3024:26,3024,gemini_2.5_flash_lite,fwd,hard,A,1.8947585,1.8977836,12.652721,20.092033
gemini_2.5_flash_lite:3026:28:fwd,14.510188,15.924284,-14.510188,1.8834255,2.020823,factor_2,gemini_2.5_flash_lite:3026:28:fwd,1039,gemini_2.5_flash_lite:3026:28,3026,gemini_2.5_flash_lite,fwd,medium,A,1.856243,1.8593677,12.279923,19.568645
gemini_2.5_flash:3252:331:fwd,14.010791,15.424887,-14.010791,3.8366256,-1.1296877,factor_1,gemini_2.5_flash:3252:331:fwd,912,gemini_2.5_flash:3252:331,3252,gemini_2.5_flash,fwd,medium,A,1.9662542,1.9691029,11.565445,19.284328
claude_3.7_sonnet:3720:79:fwd,13.939771,15.353867,-13.939771,2.3857977,3.2743526,factor_2,claude_3.7_sonnet:3720:79:fwd,79,claude_3.7_sonnet:3720:79,3720,claude_3.7_sonnet,fwd,medium,A,5.0027184,5.0018272,5.5502853,25.157448
claude_4_sonnet:3777:119:fwd,13.115542,14.529638,-13.115542,3.5904691,-1.0501281,factor_1,claude_4_sonnet:3777:119:fwd,1937,claude_4_sonnet:3777:119,3777,claude_4_sonnet,fwd,hard,A,1.8552675,1.8583947,10.887184,18.172092
claude_4_sonnet:arc195_b:283:fwd,12.267295,13.681391,-12.267295,2.105032,3.2099705,factor_2,claude_4_sonnet:arc195_b:283:fwd,2101,claude_4_sonnet:arc195_b:283,arc195_b,claude_4_sonnet,fwd,hard,A,4.4206223,4.420204,5.017791,22.34499
claude_3.7_sonnet:3770:86:fwd,11.841316,13.255412,-11.841316,2.046049,3.2386107,factor_2,claude_3.7_sonnet:3770:86:fwd,86,claude_3.7_sonnet:3770:86,3770,claude_3.7_sonnet,fwd,medium,A,4.232484,4.2322297,4.9602413,21.550583
claude_4_sonnet:3771:117:fwd,11.781888,13.195984,-11.781888,2.024367,2.8251941,factor_2,claude_4_sonnet:3771:117:fwd,1935,claude_4_sonnet:3771:117,3771,claude_4_sonnet,fwd,hard,A,3.814111,3.8142488,5.720056,20.671911
claude_3.7_sonnet:3233:27:fwd,11.647175,13.061271,-11.647175,2.0047414,3.1043916,factor_2,claude_3.7_sonnet:3233:27:fwd,27,claude_3.7_sonnet:3233:27,3233,claude_3.7_sonnet,fwd,hard,A,4.0708203,4.070713,5.082673,21.039867
qwen3_235b:3548:50:fwd,11.550804,12.9649,-11.550804,1.5242773,1.5935016,factor_2,qwen3_235b:3548:50:fwd,1450,qwen3_235b:3548:50,3548,qwen3_235b,fwd,hard,A,1.6322497,1.6360295,9.758282,16.171518
gemini_2.5_flash_lite:3363:66:bwd,11.543628,12.957724,-11.543628,-11.045261,-2.0552032,factor_1,gemini_2.5_flash_lite:3363:66:bwd,1077,gemini_2.5_flash_lite:3363:66,3363,gemini_2.5_flash_lite,bwd,hard,B,4.908154,4.907336,3.339344,22.576103
gemini_2.5_flash:3786:363:fwd,10.511253,11.925349,-10.511253,1.8246008,2.865749,factor_2,gemini_2.5_flash:3786:363:fwd,944,gemini_2.5_flash:3786:363,3786,gemini_2.5_flash,fwd,hard,A,3.4736767,3.4741678,5.11598,18.734718
gemini_2.5_flash_lite:3720:148:fwd,10.23969,11.653786,-10.23969,2.807905,-0.79765815,factor_1,gemini_2.5_flash_lite:3720:148:fwd,1159,gemini_2.5_flash_lite:3720:148,3720,gemini_2.5_flash_lite,fwd,hard,A,1.5536066,1.5576538,8.600784,14.706787
claude_4_opus:abc387_c:173:fwd,10.233403,11.647499,-10.233403,1.3630126,1.4097681,factor_2,claude_4_opus:abc387_c:173:fwd,1791,claude_4_opus:abc387_c:173,abc387_c,claude_4_opus,fwd,hard,A,1.5458691,1.5499438,8.60961,14.685389
gemini_2.5_flash:abc348_d:188:fwd,10.024882,11.438978,-10.024882,1.744276,2.7177608,factor_2,gemini_2.5_flash:abc348_d:188:fwd,769,gemini_2.5_flash:abc348_d:188,abc348_d,gemini_2.5_flash,fwd,hard,A,3.2323682,3.2331338,5.102036,17.77592
gemini_2.5_flash:abc386_e:259:bwd,9.842011,11.256107,-9.842011,2.754248,-5.111772,factor_2,gemini_2.5_flash:abc386_e:259:bwd,840,gemini_2.5_flash:abc386_e:259,abc386_e,gemini_2.5_flash,bwd,hard,B,3.6005206,3.6008759,4.1983905,18.313824
gemini_2.5_flash:abc394_g:421:bwd,9.056983,10.471079,-9.056983,-8.583451,-1.6621808,factor_1,gemini_2.5_flash:abc394_g:421:bwd,1002,gemini_2.5_flash:abc394_g:421,abc394_g,gemini_2.5_flash,bwd,hard,B,3.2485402,3.2492867,4.102477,16.83968
qwen3_235b:3690:76:fwd,8.87417,10.288266,-8.87417,1.196162,1.2197523,factor_2,qwen3_235b:3690:76:fwd,1476,qwen3_235b:3690:76,3690,qwen3_235b,fwd,hard,A,1.4611698,1.4655627,7.415763,13.160769
gemini_2.5_flash:abc382_f:248:bwd,8.752944,10.16704,-8.752944,-1.1056788,-2.1187992,factor_2,gemini_2.5_flash:abc382_f:248:bwd,829,gemini_2.5_flash:abc382_f:248,abc382_f,gemini_2.5_flash,bwd,hard,B,8.98214,8.978697,-7.4312057,27.765285
qwen3_235b:3771:96:bwd,8.510992,9.925088,-8.510992,-0.8772779,-2.182348,factor_2,qwen3_235b:3771:96:bwd,1496,qwen3_235b:3771:96,3771,qwen3_235b,bwd,medium,B,8.081023,8.078101,-5.9079905,25.758167
gemini_2.5_flash_lite:abc399_f:378:fwd,8.157744,9.57184,-8.157744,1.454049,2.354026,factor_2,gemini_2.5_flash_lite:abc399_f:378:fwd,1389,gemini_2.5_flash_lite:abc399_f:378,abc399_f,gemini_2.5_flash_lite,fwd,easy,A,2.5247023,2.5264494,4.6199994,14.523682
