question_id,judge_item_ids,judge_pair_ids,judge_splits,judge_orderings,judge_gold_labels,judge_n_pair_items,judge_difficulty_meta,judge_difficulty,judge_difficulty_centered,judge_difficulty_pair_sd,judge_difficulty_laplace_se,judge_difficulty_centered_laplace_se,judge_dominant_factors,judge_scores
abc365_e,"['claude_4_opus:abc365_e:150:fwd', 'gemini_2.5_pro:abc365_e:121:bwd', 'gemini_2.5_flash_lite:abc365_e:291:fwd', 'claude_4_sonnet:abc365_e:212:bwd']","['claude_4_opus:abc365_e:150', 'gemini_2.5_pro:abc365_e:121', 'gemini_2.5_flash_lite:abc365_e:291', 'claude_4_sonnet:abc365_e:212']","['claude_4_opus', 'claude_4_sonnet', 'gemini_2.5_flash_lite', 'gemini_2.5_pro']","['bwd', 'fwd']","{'claude_4_opus:abc365_e:150:fwd': 'A', 'gemini_2.5_pro:abc365_e:121:bwd': 'B', 'gemini_2.5_flash_lite:abc365_e:291:fwd': 'A', 'claude_4_sonnet:abc365_e:212:bwd': 'B'}",4,medium,-1.093536838889122,0.3205588459968567,12.295207482100432,1.09581375914516,1.0969902598543348,"{'claude_4_opus:abc365_e:150:fwd': 'factor_1', 'gemini_2.5_pro:abc365_e:121:bwd': 'factor_1', 'gemini_2.5_flash_lite:abc365_e:291:fwd': 'factor_1', 'claude_4_sonnet:abc365_e:212:bwd': 'factor_1'}","{'claude_haiku_4_5': 0.5, 'mistral_14b': 0.5, 'mistral_3b': 0.6666666666666666, 'mistral_8b': 0.5, 'qwen3_5_0_8b': 0.5, 'qwen3_5_27b': 0.5, 'qwen3_5_2b': 0.5, 'qwen3_5_4b': 0.25, 'qwen3_5_9b': 0.75}"
3024,"['gemini_2.5_flash_lite:3024:26:fwd', 'claude_4_sonnet:3024:20:fwd', 'claude_4_opus:3024:12:fwd', 'claude_3.7_sonnet:3024:194:bwd', 'gemini_2.5_pro:3024:204:bwd', 'gemini_2.5_flash:3024:16:bwd']","['gemini_2.5_flash_lite:3024:26', 'claude_4_sonnet:3024:20', 'claude_4_opus:3024:12', 'claude_3.7_sonnet:3024:194', 'gemini_2.5_pro:3024:204', 'gemini_2.5_flash:3024:16']","['claude_3.7_sonnet', 'claude_4_opus', 'claude_4_sonnet', 'gemini_2.5_flash', 'gemini_2.5_flash_lite', 'gemini_2.5_pro']","['bwd', 'fwd']","{'gemini_2.5_flash_lite:3024:26:fwd': 'A', 'claude_4_sonnet:3024:20:fwd': 'A', 'claude_4_opus:3024:12:fwd': 'A', 'claude_3.7_sonnet:3024:194:bwd': 'B', 'gemini_2.5_pro:3024:204:bwd': 'B', 'gemini_2.5_flash:3024:16:bwd': 'B'}",6,hard,2.154530922571818,3.568626284599304,7.118420430936687,2.0734452472862612,2.073057600323043,"{'gemini_2.5_flash_lite:3024:26:fwd': 'factor_2', 'claude_4_sonnet:3024:20:fwd': 'factor_1', 'claude_4_opus:3024:12:fwd': 'factor_1', 'claude_3.7_sonnet:3024:194:bwd': 'factor_1', 'gemini_2.5_pro:3024:204:bwd': 'factor_2', 'gemini_2.5_flash:3024:16:bwd': 'factor_1'}","{'claude_haiku_4_5': 0.6666666666666666, 'mistral_14b': 0.3333333333333333, 'mistral_3b': 0.3333333333333333, 'mistral_8b': 0.5, 'qwen3_5_0_8b': 0.3333333333333333, 'qwen3_5_27b': 0.5, 'qwen3_5_2b': 0.6666666666666666, 'qwen3_5_4b': 0.5, 'qwen3_5_9b': 0.3333333333333333}"
3026,"['gemini_2.5_flash_lite:3026:28:fwd', 'gemini_2.5_flash:3026:319:bwd', 'claude_4_sonnet:3026:22:bwd', 'claude_4_opus:3026:13:bwd']","['gemini_2.5_flash_lite:3026:28', 'gemini_2.5_flash:3026:319', 'claude_4_sonnet:3026:22', 'claude_4_opus:3026:13']","['claude_4_opus', 'claude_4_sonnet', 'gemini_2.5_flash', 'gemini_2.5_flash_lite']","['bwd', 'fwd']","{'gemini_2.5_flash_lite:3026:28:fwd': 'A', 'gemini_2.5_flash:3026:319:bwd': 'B', 'claude_4_sonnet:3026:22:bwd': 'B', 'claude_4_opus:3026:13:bwd': 'B'}",4,medium,4.130118727684021,5.544214248657227,8.336229998149845,2.5723853097494294,2.5718854401343694,"{'gemini_2.5_flash_lite:3026:28:fwd': 'factor_2', 'gemini_2.5_flash:3026:319:bwd': 'factor_2', 'claude_4_sonnet:3026:22:bwd': 'factor_2', 'claude_4_opus:3026:13:bwd': 'factor_1'}","{'claude_haiku_4_5': 0.25, 'mistral_14b': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.25, 'qwen3_5_0_8b': 0.5, 'qwen3_5_27b': 0.5, 'qwen3_5_2b': 0.25, 'qwen3_5_4b': 0.5, 'qwen3_5_9b': 0.5}"
3252,"['gemini_2.5_flash:3252:331:fwd', 'claude_4_opus:3252:22:bwd']","['gemini_2.5_flash:3252:331', 'claude_4_opus:3252:22']","['claude_4_opus', 'gemini_2.5_flash']","['bwd', 'fwd']","{'gemini_2.5_flash:3252:331:fwd': 'A', 'claude_4_opus:3252:22:bwd': 'B'}",2,medium,8.243117690086365,9.65721344947815,8.156721739161833,3.352135001513436,3.351651422054067,"{'gemini_2.5_flash:3252:331:fwd': 'factor_1', 'claude_4_opus:3252:22:bwd': 'factor_1'}","{'claude_haiku_4_5': 0.0, 'mistral_14b': 0.5, 'mistral_3b': 0.5, 'mistral_8b': 0.5, 'qwen3_5_0_8b': 0.0, 'qwen3_5_27b': 0.5, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.5, 'qwen3_5_9b': 0.0}"
3720,"['claude_3.7_sonnet:3720:79:fwd', 'gemini_2.5_flash_lite:3720:148:fwd', 'claude_4_sonnet:3720:109:bwd', 'claude_4_opus:3720:70:fwd', 'gemini_2.5_flash:3720:105:bwd']","['claude_3.7_sonnet:3720:79', 'gemini_2.5_flash_lite:3720:148', 'claude_4_sonnet:3720:109', 'claude_4_opus:3720:70', 'gemini_2.5_flash:3720:105']","['claude_3.7_sonnet', 'claude_4_opus', 'claude_4_sonnet', 'gemini_2.5_flash', 'gemini_2.5_flash_lite']","['bwd', 'fwd']","{'claude_3.7_sonnet:3720:79:fwd': 'A', 'gemini_2.5_flash_lite:3720:148:fwd': 'A', 'claude_4_sonnet:3720:109:bwd': 'B', 'claude_4_opus:3720:70:fwd': 'A', 'gemini_2.5_flash:3720:105:bwd': 'B'}",5,medium,2.9263865828514097,4.3404821991920475,8.616345556096459,1.546293148612093,1.5465205876100871,"{'claude_3.7_sonnet:3720:79:fwd': 'factor_2', 'gemini_2.5_flash_lite:3720:148:fwd': 'factor_1', 'claude_4_sonnet:3720:109:bwd': 'factor_1', 'claude_4_opus:3720:70:fwd': 'factor_2', 'gemini_2.5_flash:3720:105:bwd': 'factor_2'}","{'claude_haiku_4_5': 0.4, 'mistral_14b': 0.6, 'mistral_3b': 0.6, 'mistral_8b': 0.6, 'qwen3_5_0_8b': 0.4, 'qwen3_5_27b': 0.4, 'qwen3_5_2b': 0.2, 'qwen3_5_4b': 0.4, 'qwen3_5_9b': 0.4}"
3777,"['claude_4_sonnet:3777:119:fwd', 'claude_3.7_sonnet:3777:88:fwd', 'gemini_2.5_flash_lite:3777:164:fwd']","['claude_4_sonnet:3777:119', 'claude_3.7_sonnet:3777:88', 'gemini_2.5_flash_lite:3777:164']","['claude_3.7_sonnet', 'claude_4_sonnet', 'gemini_2.5_flash_lite']",['fwd'],"{'claude_4_sonnet:3777:119:fwd': 'A', 'claude_3.7_sonnet:3777:88:fwd': 'A', 'gemini_2.5_flash_lite:3777:164:fwd': 'A'}",3,hard,5.0340298016866045,6.44812536239624,8.735835248725682,1.8683100233115744,1.8687495993661603,"{'claude_4_sonnet:3777:119:fwd': 'factor_1', 'claude_3.7_sonnet:3777:88:fwd': 'factor_1', 'gemini_2.5_flash_lite:3777:164:fwd': 'factor_1'}","{'claude_haiku_4_5': 0.3333333333333333, 'mistral_14b': 0.6666666666666666, 'mistral_3b': 0.6666666666666666, 'mistral_8b': 1.0, 'qwen3_5_0_8b': 0.6666666666666666, 'qwen3_5_27b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0}"
arc195_b,"['claude_4_sonnet:arc195_b:283:fwd', 'gemini_2.5_pro:arc195_b:253:fwd', 'claude_4_opus:arc195_b:199:bwd']","['claude_4_sonnet:arc195_b:283', 'gemini_2.5_pro:arc195_b:253', 'claude_4_opus:arc195_b:199']","['claude_4_opus', 'claude_4_sonnet', 'gemini_2.5_pro']","['bwd', 'fwd']","{'claude_4_sonnet:arc195_b:283:fwd': 'A', 'gemini_2.5_pro:arc195_b:253:fwd': 'A', 'claude_4_opus:arc195_b:199:bwd': 'B'}",3,hard,6.613452752431233,8.027548472086588,4.89651643838676,3.0811931956314123,3.0805333327778395,"{'claude_4_sonnet:arc195_b:283:fwd': 'factor_2', 'gemini_2.5_pro:arc195_b:253:fwd': 'factor_1', 'claude_4_opus:arc195_b:199:bwd': 'factor_1'}","{'claude_haiku_4_5': 0.0, 'mistral_14b': 0.3333333333333333, 'mistral_3b': 0.6666666666666666, 'mistral_8b': 0.6666666666666666, 'qwen3_5_0_8b': 0.6666666666666666, 'qwen3_5_27b': 0.3333333333333333, 'qwen3_5_2b': 0.3333333333333333, 'qwen3_5_4b': 0.3333333333333333, 'qwen3_5_9b': 0.3333333333333333}"
3770,"['claude_3.7_sonnet:3770:86:fwd', 'gemini_2.5_pro:3770:67:bwd', 'gemini_2.5_flash_lite:3770:161:fwd', 'claude_4_sonnet:3770:116:fwd', 'qwen3_235b:3770:95:fwd', 'claude_4_opus:3770:75:bwd', 'gemini_2.5_flash:3770:117:fwd']","['claude_3.7_sonnet:3770:86', 'gemini_2.5_pro:3770:67', 'gemini_2.5_flash_lite:3770:161', 'claude_4_sonnet:3770:116', 'qwen3_235b:3770:95', 'claude_4_opus:3770:75', 'gemini_2.5_flash:3770:117']","['claude_3.7_sonnet', 'claude_4_opus', 'claude_4_sonnet', 'gemini_2.5_flash', 'gemini_2.5_flash_lite', 'gemini_2.5_pro', 'qwen3_235b']","['bwd', 'fwd']","{'claude_3.7_sonnet:3770:86:fwd': 'A', 'gemini_2.5_pro:3770:67:bwd': 'B', 'gemini_2.5_flash_lite:3770:161:fwd': 'A', 'claude_4_sonnet:3770:116:fwd': 'A', 'qwen3_235b:3770:95:fwd': 'A', 'claude_4_opus:3770:75:bwd': 'B', 'gemini_2.5_flash:3770:117:fwd': 'A'}",7,medium,1.403173838342939,2.8172693763460432,6.478655645706636,1.7282759532790162,1.7280693390406572,"{'claude_3.7_sonnet:3770:86:fwd': 'factor_2', 'gemini_2.5_pro:3770:67:bwd': 'factor_2', 'gemini_2.5_flash_lite:3770:161:fwd': 'factor_2', 'claude_4_sonnet:3770:116:fwd': 'factor_1', 'qwen3_235b:3770:95:fwd': 'factor_1', 'claude_4_opus:3770:75:bwd': 'factor_1', 'gemini_2.5_flash:3770:117:fwd': 'factor_2'}","{'claude_haiku_4_5': 0.5714285714285714, 'mistral_14b': 0.42857142857142855, 'mistral_3b': 0.7142857142857143, 'mistral_8b': 0.5714285714285714, 'qwen3_5_0_8b': 0.5714285714285714, 'qwen3_5_27b': 0.2857142857142857, 'qwen3_5_2b': 0.42857142857142855, 'qwen3_5_4b': 0.2857142857142857, 'qwen3_5_9b': 0.14285714285714285}"
3771,"['claude_4_sonnet:3771:117:fwd', 'qwen3_235b:3771:96:bwd', 'gemini_2.5_flash_lite:3771:162:fwd', 'claude_4_opus:3771:76:fwd', 'gemini_2.5_flash:3771:118:bwd', 'gemini_2.5_pro:3771:68:fwd']","['claude_4_sonnet:3771:117', 'qwen3_235b:3771:96', 'gemini_2.5_flash_lite:3771:162', 'claude_4_opus:3771:76', 'gemini_2.5_flash:3771:118', 'gemini_2.5_pro:3771:68']","['claude_4_opus', 'claude_4_sonnet', 'gemini_2.5_flash', 'gemini_2.5_flash_lite', 'gemini_2.5_pro', 'qwen3_235b']","['bwd', 'fwd']","{'claude_4_sonnet:3771:117:fwd': 'A', 'qwen3_235b:3771:96:bwd': 'B', 'gemini_2.5_flash_lite:3771:162:fwd': 'A', 'claude_4_opus:3771:76:fwd': 'A', 'gemini_2.5_flash:3771:118:bwd': 'B', 'gemini_2.5_pro:3771:68:fwd': 'A'}",6,hard,4.542393843332927,5.956489483515422,5.895083992029132,2.8900105289880003,2.889065340753245,"{'claude_4_sonnet:3771:117:fwd': 'factor_2', 'qwen3_235b:3771:96:bwd': 'factor_2', 'gemini_2.5_flash_lite:3771:162:fwd': 'factor_2', 'claude_4_opus:3771:76:fwd': 'factor_1', 'gemini_2.5_flash:3771:118:bwd': 'factor_2', 'gemini_2.5_pro:3771:68:fwd': 'factor_1'}","{'claude_haiku_4_5': 0.3333333333333333, 'mistral_14b': 0.3333333333333333, 'mistral_3b': 0.6666666666666666, 'mistral_8b': 0.5, 'qwen3_5_0_8b': 0.6666666666666666, 'qwen3_5_27b': 0.16666666666666666, 'qwen3_5_2b': 0.5, 'qwen3_5_4b': 0.3333333333333333, 'qwen3_5_9b': 0.16666666666666666}"
3233,"['claude_3.7_sonnet:3233:27:fwd', 'qwen3_235b:3233:20:fwd', 'gemini_2.5_flash_lite:3233:46:fwd', 'gemini_2.5_flash:3233:330:fwd']","['claude_3.7_sonnet:3233:27', 'qwen3_235b:3233:20', 'gemini_2.5_flash_lite:3233:46', 'gemini_2.5_flash:3233:330']","['claude_3.7_sonnet', 'gemini_2.5_flash', 'gemini_2.5_flash_lite', 'qwen3_235b']",['fwd'],"{'claude_3.7_sonnet:3233:27:fwd': 'A', 'qwen3_235b:3233:20:fwd': 'A', 'gemini_2.5_flash_lite:3233:46:fwd': 'A', 'gemini_2.5_flash:3233:330:fwd': 'A'}",4,hard,3.9652108550071716,5.379306435585022,6.532925792801689,2.851660289581404,2.8509568472570392,"{'claude_3.7_sonnet:3233:27:fwd': 'factor_2', 'qwen3_235b:3233:20:fwd': 'factor_1', 'gemini_2.5_flash_lite:3233:46:fwd': 'factor_2', 'gemini_2.5_flash:3233:330:fwd': 'factor_1'}","{'claude_haiku_4_5': 0.25, 'mistral_14b': 0.5, 'mistral_3b': 1.0, 'mistral_8b': 0.75, 'qwen3_5_0_8b': 1.0, 'qwen3_5_27b': 0.0, 'qwen3_5_2b': 0.25, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0}"
