item_id,difficulty,difficulty_centered,easiness_z,loading_factor_1,dominant_factor,item_id_meta,selected_order,pair_id,question_id,split,ordering,difficulty_meta,gold,difficulty_laplace_se,difficulty_centered_laplace_se,difficulty_centered_laplace_lo,difficulty_centered_laplace_hi
gemini_2.5_flash_lite:abc338_c:237:bwd,18.850096,20.485847,-18.850096,8.446344,factor_1,gemini_2.5_flash_lite:abc338_c:237:bwd,1248,gemini_2.5_flash_lite:abc338_c:237,abc338_c,gemini_2.5_flash_lite,bwd,hard,B,3.1569457,3.156541,14.2990265,26.672668
claude_3.7_sonnet:3558:236:bwd,14.315226,15.950977,-14.315226,8.240561,factor_1,claude_3.7_sonnet:3558:236:bwd,236,claude_3.7_sonnet:3558:236,3558,claude_3.7_sonnet,bwd,medium,B,1.6312428,1.6325886,12.751103,19.15085
claude_3.7_sonnet:3453:48:bwd,14.262585,15.898336,-14.262585,6.428746,factor_1,claude_3.7_sonnet:3453:48:bwd,48,claude_3.7_sonnet:3453:48,3453,claude_3.7_sonnet,bwd,hard,B,2.273308,2.2737498,11.441787,20.354885
gemini_2.5_flash_lite:3535:100:bwd,13.685793,15.321545,-13.685793,6.1510754,factor_1,gemini_2.5_flash_lite:3535:100:bwd,1111,gemini_2.5_flash_lite:3535:100,3535,gemini_2.5_flash_lite,bwd,medium,B,2.1825643,2.1831124,11.0426445,19.600445
qwen3_235b:3406:33:bwd,13.061108,14.696859,-13.061108,2.851816,factor_1,qwen3_235b:3406:33:bwd,1433,qwen3_235b:3406:33,3406,qwen3_235b,bwd,hard,B,13.568036,13.561838,-11.884344,41.27806
gemini_2.5_flash_lite:abc328_e:223:bwd,13.052934,14.688685,-13.052934,7.4923906,factor_1,gemini_2.5_flash_lite:abc328_e:223:bwd,1234,gemini_2.5_flash_lite:abc328_e:223,abc328_e,gemini_2.5_flash_lite,bwd,hard,B,1.590189,1.5916092,11.569131,17.808239
gemini_2.5_flash_lite:abc330_e:224:bwd,12.411048,14.0468,-12.411048,5.555699,factor_1,gemini_2.5_flash_lite:abc330_e:224:bwd,1235,gemini_2.5_flash_lite:abc330_e:224,abc330_e,gemini_2.5_flash_lite,bwd,hard,B,1.9990444,1.9998254,10.127142,17.966457
gemini_2.5_flash:2920:12:bwd,12.04278,13.678532,-12.04278,6.939955,factor_1,gemini_2.5_flash:2920:12:bwd,593,gemini_2.5_flash:2920:12,2920,gemini_2.5_flash,bwd,medium,B,1.5623124,1.5637846,10.613514,16.74355
gemini_2.5_flash_lite:abc385_d:347:bwd,11.893467,13.529219,-11.893467,5.357885,factor_1,gemini_2.5_flash_lite:abc385_d:347:bwd,1358,gemini_2.5_flash_lite:abc385_d:347,abc385_d,gemini_2.5_flash_lite,bwd,hard,B,1.9318886,1.9327617,9.741006,17.317432
claude_4_sonnet:abc384_f:244:bwd,11.404665,13.040417,-11.404665,6.5856233,factor_1,claude_4_sonnet:abc384_f:244:bwd,2062,claude_4_sonnet:abc384_f:244,abc384_f,claude_4_sonnet,bwd,hard,B,1.5450153,1.5465205,10.009236,16.071596
gemini_2.5_flash:abc364_a:393:bwd,11.217484,12.853236,-11.217484,6.484126,factor_1,gemini_2.5_flash:abc364_a:393:bwd,974,gemini_2.5_flash:abc364_a:393,abc364_a,gemini_2.5_flash,bwd,easy,B,1.5402417,1.541756,9.831394,15.875078
claude_3.7_sonnet:3292:30:fwd,11.186902,12.822654,-11.186902,-4.233603,factor_1,claude_3.7_sonnet:3292:30:fwd,30,claude_3.7_sonnet:3292:30,3292,claude_3.7_sonnet,fwd,hard,A,13.523194,13.517018,-13.670703,39.31601
gemini_2.5_flash:abc361_f:207:bwd,10.835975,12.471726,-10.835975,4.8797703,factor_1,gemini_2.5_flash:abc361_f:207:bwd,788,gemini_2.5_flash:abc361_f:207,abc361_f,gemini_2.5_flash,bwd,hard,B,1.8015102,1.8025749,8.93868,16.004772
gemini_2.5_flash:abc374_f:404:bwd,10.663179,12.298931,-10.663179,4.799792,factor_1,gemini_2.5_flash:abc374_f:404:bwd,985,gemini_2.5_flash:abc374_f:404,abc374_f,gemini_2.5_flash,bwd,hard,B,1.7814465,1.7825423,8.805148,15.792714
qwen3_235b:3771:96:bwd,10.522323,12.158074,-10.522323,4.729387,factor_1,qwen3_235b:3771:96:bwd,1496,qwen3_235b:3771:96,3771,qwen3_235b,bwd,medium,B,1.7654923,1.7666132,8.695513,15.620636
gemini_2.5_pro:abc306_e:77:bwd,10.375526,12.011278,-10.375526,2.2752342,factor_1,gemini_2.5_pro:abc306_e:77:bwd,402,gemini_2.5_pro:abc306_e:77,abc306_e,gemini_2.5_pro,bwd,hard,B,7.1511583,7.1482415,-1.9992752,26.021832
gemini_2.5_pro:abc370_a:236:bwd,10.334395,11.970147,-10.334395,5.936561,factor_1,gemini_2.5_pro:abc370_a:236:bwd,561,gemini_2.5_pro:abc370_a:236,abc370_a,gemini_2.5_pro,bwd,hard,B,1.5115794,1.51315,9.004374,14.935921
claude_4_opus:abc321_e:110:fwd,10.216746,11.852498,-10.216746,-1.4687022,factor_1,claude_4_opus:abc321_e:110:fwd,1728,claude_4_opus:abc321_e:110,abc321_e,claude_4_opus,fwd,hard,A,5.663226,5.661144,0.7566557,22.948341
qwen3_235b:3587:60:bwd,10.158395,11.794147,-10.158395,2.2300014,factor_1,qwen3_235b:3587:60:bwd,1460,qwen3_235b:3587:60,3587,qwen3_235b,bwd,hard,B,6.7880845,6.785366,-1.5051708,25.093464
claude_4_opus:abc396_g:184:bwd,10.107437,11.743189,-10.107437,5.8525376,factor_1,claude_4_opus:abc396_g:184:bwd,1802,claude_4_opus:abc396_g:184,abc396_g,claude_4_opus,bwd,hard,B,1.5092787,1.5108539,8.781916,14.704462
claude_4_sonnet:3697:106:fwd,9.90302,11.538772,-9.90302,-3.7486787,factor_1,claude_4_sonnet:3697:106:fwd,1924,claude_4_sonnet:3697:106,3697,claude_4_sonnet,fwd,hard,A,9.728121,9.72385,-7.5199747,30.597519
claude_4_opus:3229:20:bwd,9.830945,11.466697,-9.830945,2.1590805,factor_1,claude_4_opus:3229:20:bwd,1638,claude_4_opus:3229:20,3229,claude_4_opus,bwd,hard,B,6.273632,6.2712,-0.8248558,23.75825
qwen3_235b:3482:44:bwd,9.774988,11.41074,-9.774988,2.1497447,factor_1,qwen3_235b:3482:44:bwd,1444,qwen3_235b:3482:44,3482,qwen3_235b,bwd,hard,B,6.1903076,6.187923,-0.7175894,23.53907
gemini_2.5_flash_lite:3697:141:fwd,9.670003,11.305755,-9.670003,-3.654755,factor_1,gemini_2.5_flash_lite:3697:141:fwd,1152,gemini_2.5_flash_lite:3697:141,3697,gemini_2.5_flash_lite,fwd,hard,A,9.172398,9.168413,-6.664336,29.275845
gemini_2.5_flash:3528:61:fwd,9.600213,11.235965,-9.600213,-3.6271803,factor_1,gemini_2.5_flash:3528:61:fwd,642,gemini_2.5_flash:3528:61,3528,gemini_2.5_flash,fwd,hard,A,9.010535,9.006634,-6.417037,28.888966
gemini_2.5_flash_lite:abc356_e:267:fwd,9.580317,11.216068,-9.580317,-1.3807381,factor_1,gemini_2.5_flash_lite:abc356_e:267:fwd,1278,gemini_2.5_flash_lite:abc356_e:267,abc356_e,gemini_2.5_flash_lite,fwd,hard,A,5.006039,5.0043497,1.4075422,21.024593
gemini_2.5_flash:3394:44:bwd,9.476521,11.112272,-9.476521,4.2583103,factor_1,gemini_2.5_flash:3394:44:bwd,625,gemini_2.5_flash:3394:44,3394,gemini_2.5_flash,bwd,hard,B,1.6520172,1.6533266,7.871752,14.352793
claude_4_opus:3080:15:fwd,9.381418,11.01717,-9.381418,-3.5433457,factor_1,claude_4_opus:3080:15:fwd,1633,claude_4_opus:3080:15,3080,claude_4_opus,fwd,hard,A,8.515872,8.512228,-5.6667976,27.701138
gemini_2.5_flash:abc389_f:268:bwd,9.274973,10.910725,-9.274973,5.3837967,factor_1,gemini_2.5_flash:abc389_f:268:bwd,849,gemini_2.5_flash:abc389_f:268,abc389_f,gemini_2.5_flash,bwd,easy,B,1.4859765,1.4875987,7.9950314,13.826418
