item_id,difficulty,difficulty_centered,easiness_z,loading_factor_1,dominant_factor,item_id_meta,selected_order,difficulty_meta,platform,question_content,starter_code,prompt,difficulty_laplace_se,difficulty_centered_laplace_se,difficulty_centered_laplace_lo,difficulty_centered_laplace_hi,solver_scores,question_id
3558,6.6452460289001465,6.556765079498291,-6.6452460289001465,-3.604956865310669,factor_1,3558,195,medium,leetcode,,,,27.586109161376953,27.546213150024414,-47.43381118774414,60.54734420776367,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}",3558
2730,6.32481050491333,6.236329555511475,-6.32481050491333,-1.706194519996643,factor_1,2730,7,medium,leetcode,,,,19.197616577148438,19.170551300048828,-31.337949752807617,43.81060791015625,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}",2730
3777,5.95734977722168,5.868868827819824,-5.95734977722168,-3.410881280899048,factor_1,3777,278,hard,leetcode,,,,19.3866024017334,19.359243392944336,-32.07524871826172,43.81298828125,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}",3777
2854,5.89540958404541,5.806928634643555,-5.89540958404541,-4.195697784423828,factor_1,2854,30,medium,leetcode,,,,19.433870315551758,19.40643882751465,-32.22969055175781,43.84355163574219,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}",2854
3771,5.8220953941345215,5.733614444732666,-5.8220953941345215,-3.78776478767395,factor_1,3771,276,medium,leetcode,,,,18.457244873046875,18.43132972717285,-30.391794204711914,41.85902404785156,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}",3771
abc324_d,5.773897171020508,5.685416221618652,-5.773897171020508,-4.834159851074219,factor_1,abc324_d,365,hard,atcoder,,,,18.61402702331543,18.587867736816406,-30.746803283691406,42.117637634277344,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}",abc324_d
3230,5.68263578414917,5.5941548347473145,-5.68263578414917,-3.0189902782440186,factor_1,3230,92,medium,leetcode,,,,16.492692947387695,16.4698543548584,-26.68675994873047,37.87506866455078,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}",3230
3534,5.661613464355469,5.573132514953613,-5.661613464355469,-4.785669803619385,factor_1,3534,187,medium,leetcode,,,,17.58393096923828,17.55937957763672,-28.84325408935547,39.98951721191406,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}",3534
3166,5.657907009124756,5.5694260597229,-5.657907009124756,-2.430403232574463,factor_1,3166,73,medium,leetcode,,,,15.419872283935547,15.39873218536377,-24.612089157104492,35.75094223022461,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}",3166
3026,5.554141044616699,5.465660095214844,-5.554141044616699,-1.54140043258667,factor_1,3026,56,medium,leetcode,,,,12.617960929870605,12.60134220123291,-19.23297119140625,30.164291381835938,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}",3026
