item_id,difficulty,difficulty_centered,easiness_z,loading_factor_1,loading_factor_2,dominant_factor,item_id_meta,selected_order,pair_id,question_id,split,ordering,difficulty_meta,gold,difficulty_laplace_se,difficulty_centered_laplace_se,difficulty_centered_laplace_lo,difficulty_centered_laplace_hi,judge_pair_scores
claude_4_opus:abc365_e:150:fwd,15.577925682067871,16.992021560668945,-15.577925682067871,4.266148567199707,-1.2676975727081299,factor_1,claude_4_opus:abc365_e:150:fwd,1768,claude_4_opus:abc365_e:150,abc365_e,claude_4_opus,fwd,medium,A,2.1823792457580566,2.184751033782959,12.709909439086914,21.274133682250977,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 1.0, 'mistral_8b': 1.0, 'mistral_14b': 1.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_flash_lite:3024:26:fwd,14.958282470703125,16.372377395629883,-14.958282470703125,1.9379398822784424,2.0848093032836914,factor_2,gemini_2.5_flash_lite:3024:26:fwd,1037,gemini_2.5_flash_lite:3024:26,3024,gemini_2.5_flash_lite,fwd,hard,A,1.8947584629058838,1.897783637046814,12.652721405029297,20.09203338623047,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 1.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_flash_lite:3026:28:fwd,14.510188102722168,15.924283981323242,-14.510188102722168,1.8834254741668701,2.0208230018615723,factor_2,gemini_2.5_flash_lite:3026:28:fwd,1039,gemini_2.5_flash_lite:3026:28,3026,gemini_2.5_flash_lite,fwd,medium,A,1.8562430143356323,1.8593677282333374,12.279923439025879,19.568645477294922,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 1.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_flash:3252:331:fwd,14.010790824890137,15.424886703491211,-14.010790824890137,3.836625576019287,-1.1296876668930054,factor_1,gemini_2.5_flash:3252:331:fwd,912,gemini_2.5_flash:3252:331,3252,gemini_2.5_flash,fwd,medium,A,1.9662542343139648,1.9691028594970703,11.565444946289062,19.28432846069336,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 1.0, 'mistral_8b': 1.0, 'mistral_14b': 1.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
claude_3.7_sonnet:3720:79:fwd,13.939770698547363,15.353866577148438,-13.939770698547363,2.3857977390289307,3.274352550506592,factor_2,claude_3.7_sonnet:3720:79:fwd,79,claude_3.7_sonnet:3720:79,3720,claude_3.7_sonnet,fwd,medium,A,5.002718448638916,5.001827239990234,5.550285339355469,25.157447814941406,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 1.0, 'mistral_8b': 1.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
claude_4_sonnet:3777:119:fwd,13.1155424118042,14.529638290405273,-13.1155424118042,3.5904691219329834,-1.0501281023025513,factor_1,claude_4_sonnet:3777:119:fwd,1937,claude_4_sonnet:3777:119,3777,claude_4_sonnet,fwd,hard,A,1.8552675247192383,1.858394742012024,10.887184143066406,18.17209243774414,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 1.0, 'mistral_8b': 1.0, 'mistral_14b': 1.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
claude_4_sonnet:arc195_b:283:fwd,12.267294883728027,13.681390762329102,-12.267294883728027,2.105031967163086,3.209970474243164,factor_2,claude_4_sonnet:arc195_b:283:fwd,2101,claude_4_sonnet:arc195_b:283,arc195_b,claude_4_sonnet,fwd,hard,A,4.4206223487854,4.420204162597656,5.017790794372559,22.344989776611328,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 1.0, 'mistral_8b': 1.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
claude_3.7_sonnet:3770:86:fwd,11.841316223144531,13.255412101745605,-11.841316223144531,2.046049118041992,3.2386107444763184,factor_2,claude_3.7_sonnet:3770:86:fwd,86,claude_3.7_sonnet:3770:86,3770,claude_3.7_sonnet,fwd,medium,A,4.232483863830566,4.232229709625244,4.960241317749023,21.550582885742188,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 1.0, 'mistral_8b': 1.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
claude_4_sonnet:3771:117:fwd,11.781888008117676,13.19598388671875,-11.781888008117676,2.024367094039917,2.8251941204071045,factor_2,claude_4_sonnet:3771:117:fwd,1935,claude_4_sonnet:3771:117,3771,claude_4_sonnet,fwd,hard,A,3.8141109943389893,3.81424880027771,5.720056056976318,20.671911239624023,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 1.0, 'mistral_8b': 1.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
claude_3.7_sonnet:3233:27:fwd,11.647174835205078,13.061270713806152,-11.647174835205078,2.0047414302825928,3.104391574859619,factor_2,claude_3.7_sonnet:3233:27:fwd,27,claude_3.7_sonnet:3233:27,3233,claude_3.7_sonnet,fwd,hard,A,4.070820331573486,4.070713043212891,5.082673072814941,21.039867401123047,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 1.0, 'mistral_8b': 1.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
