item_id,difficulty,difficulty_centered,easiness_z,loading_factor_1,dominant_factor,item_id_meta,selected_order,pair_id,question_id,split,ordering,difficulty_meta,gold,difficulty_laplace_se,difficulty_centered_laplace_se,difficulty_centered_laplace_lo,difficulty_centered_laplace_hi,judge_pair_scores
gemini_2.5_flash_lite:abc338_c:237:bwd,18.850095748901367,20.48584747314453,-18.850095748901367,8.446344375610352,factor_1,gemini_2.5_flash_lite:abc338_c:237:bwd,1248,gemini_2.5_flash_lite:abc338_c:237,abc338_c,gemini_2.5_flash_lite,bwd,hard,B,3.1569457054138184,3.156541109085083,14.299026489257812,26.67266845703125,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
claude_3.7_sonnet:3558:236:bwd,14.315225601196289,15.950977325439453,-14.315225601196289,8.240560531616211,factor_1,claude_3.7_sonnet:3558:236:bwd,236,claude_3.7_sonnet:3558:236,3558,claude_3.7_sonnet,bwd,medium,B,1.6312427520751953,1.6325886249542236,12.751103401184082,19.150850296020508,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 1.0}"
claude_3.7_sonnet:3453:48:bwd,14.262584686279297,15.898336410522461,-14.262584686279297,6.428746223449707,factor_1,claude_3.7_sonnet:3453:48:bwd,48,claude_3.7_sonnet:3453:48,3453,claude_3.7_sonnet,bwd,hard,B,2.273308038711548,2.273749828338623,11.441786766052246,20.35488510131836,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_flash_lite:3535:100:bwd,13.685792922973633,15.321544647216797,-13.685792922973633,6.15107536315918,factor_1,gemini_2.5_flash_lite:3535:100:bwd,1111,gemini_2.5_flash_lite:3535:100,3535,gemini_2.5_flash_lite,bwd,medium,B,2.1825642585754395,2.183112382888794,11.042644500732422,19.600444793701172,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
qwen3_235b:3406:33:bwd,13.061107635498047,14.696859359741211,-13.061107635498047,2.851815938949585,factor_1,qwen3_235b:3406:33:bwd,1433,qwen3_235b:3406:33,3406,qwen3_235b,bwd,hard,B,13.568036079406738,13.561838150024414,-11.884344100952148,41.27806091308594,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_flash_lite:abc328_e:223:bwd,13.052933692932129,14.688685417175293,-13.052933692932129,7.4923906326293945,factor_1,gemini_2.5_flash_lite:abc328_e:223:bwd,1234,gemini_2.5_flash_lite:abc328_e:223,abc328_e,gemini_2.5_flash_lite,bwd,hard,B,1.590188980102539,1.591609239578247,11.569130897521973,17.808238983154297,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 1.0}"
gemini_2.5_flash_lite:abc330_e:224:bwd,12.41104793548584,14.046799659729004,-12.41104793548584,5.555698871612549,factor_1,gemini_2.5_flash_lite:abc330_e:224:bwd,1235,gemini_2.5_flash_lite:abc330_e:224,abc330_e,gemini_2.5_flash_lite,bwd,hard,B,1.999044418334961,1.999825358390808,10.127141952514648,17.96645736694336,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_flash:2920:12:bwd,12.042779922485352,13.678531646728516,-12.042779922485352,6.939955234527588,factor_1,gemini_2.5_flash:2920:12:bwd,593,gemini_2.5_flash:2920:12,2920,gemini_2.5_flash,bwd,medium,B,1.562312364578247,1.5637845993041992,10.613513946533203,16.743549346923828,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 1.0}"
gemini_2.5_flash_lite:abc385_d:347:bwd,11.89346694946289,13.529218673706055,-11.89346694946289,5.357884883880615,factor_1,gemini_2.5_flash_lite:abc385_d:347:bwd,1358,gemini_2.5_flash_lite:abc385_d:347,abc385_d,gemini_2.5_flash_lite,bwd,hard,B,1.9318885803222656,1.9327616691589355,9.741005897521973,17.317432403564453,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
claude_4_sonnet:abc384_f:244:bwd,11.404664993286133,13.040416717529297,-11.404664993286133,6.585623264312744,factor_1,claude_4_sonnet:abc384_f:244:bwd,2062,claude_4_sonnet:abc384_f:244,abc384_f,claude_4_sonnet,bwd,hard,B,1.5450153350830078,1.546520471572876,10.009236335754395,16.071596145629883,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 1.0}"
gemini_2.5_flash:abc364_a:393:bwd,11.217484474182129,12.853236198425293,-11.217484474182129,6.484126091003418,factor_1,gemini_2.5_flash:abc364_a:393:bwd,974,gemini_2.5_flash:abc364_a:393,abc364_a,gemini_2.5_flash,bwd,easy,B,1.5402417182922363,1.5417560338974,9.83139419555664,15.875078201293945,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 1.0}"
claude_3.7_sonnet:3292:30:fwd,11.186902046203613,12.822653770446777,-11.186902046203613,-4.233603000640869,factor_1,claude_3.7_sonnet:3292:30:fwd,30,claude_3.7_sonnet:3292:30,3292,claude_3.7_sonnet,fwd,hard,A,13.523194313049316,13.51701831817627,-13.670702934265137,39.316009521484375,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 1.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_flash:abc361_f:207:bwd,10.83597469329834,12.471726417541504,-10.83597469329834,4.879770278930664,factor_1,gemini_2.5_flash:abc361_f:207:bwd,788,gemini_2.5_flash:abc361_f:207,abc361_f,gemini_2.5_flash,bwd,hard,B,1.801510214805603,1.802574872970581,8.938679695129395,16.004772186279297,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_flash:abc374_f:404:bwd,10.663179397583008,12.298931121826172,-10.663179397583008,4.7997918128967285,factor_1,gemini_2.5_flash:abc374_f:404:bwd,985,gemini_2.5_flash:abc374_f:404,abc374_f,gemini_2.5_flash,bwd,hard,B,1.7814464569091797,1.78254234790802,8.805148124694824,15.79271411895752,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
qwen3_235b:3771:96:bwd,10.522322654724121,12.158074378967285,-10.522322654724121,4.729386806488037,factor_1,qwen3_235b:3771:96:bwd,1496,qwen3_235b:3771:96,3771,qwen3_235b,bwd,medium,B,1.76549232006073,1.766613245010376,8.695512771606445,15.620635986328125,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_pro:abc306_e:77:bwd,10.375526428222656,12.01127815246582,-10.375526428222656,2.2752342224121094,factor_1,gemini_2.5_pro:abc306_e:77:bwd,402,gemini_2.5_pro:abc306_e:77,abc306_e,gemini_2.5_pro,bwd,hard,B,7.151158332824707,7.1482415199279785,-1.9992752075195312,26.021831512451172,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}"
gemini_2.5_pro:abc370_a:236:bwd,10.334395408630371,11.970147132873535,-10.334395408630371,5.936561107635498,factor_1,gemini_2.5_pro:abc370_a:236:bwd,561,gemini_2.5_pro:abc370_a:236,abc370_a,gemini_2.5_pro,bwd,hard,B,1.5115793943405151,1.5131499767303467,9.004373550415039,14.935920715332031,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 1.0}"
